,Ticker,CVaR99
0,SMB,-1.83
1,SHP,-2.74
2,KDC,-2.8
3,NCT,-2.87
4,CHP,-2.91
5,KOS,-2.97
6,OPC,-3.12
7,HTI,-3.14
8,VNM,-3.18
9,SCS,-3.25
10,SJD,-3.28
11,FIR,-3.29
12,DBD,-3.3
13,VPI,-3.32
14,CLC,-3.38
15,DVP,-3.4
16,VJC,-3.41
17,SSB,-3.46
18,DSN,-3.52
19,CLL,-3.52
20,CDC,-3.55
21,TRA,-3.63
22,NSC,-3.83
23,SAB,-3.83
24,TBC,-3.89
25,SBA,-3.91
26,TCL,-3.93
27,SBV,-3.93
28,VCB,-3.94
29,LIX,-4.02
30,SGN,-4.06
31,PPC,-4.08
32,GDT,-4.14
33,DHG,-4.17
34,AGG,-4.18
35,CAV,-4.25
36,DHM,-4.28
37,BHN,-4.36
38,TYA,-4.49
39,PGV,-4.52
40,DCL,-4.54
41,HHP,-4.55
42,VHM,-4.57
43,DRL,-4.7
44,VIC,-4.77
45,ICT,-4.78
46,BMP,-4.81
47,PGI,-4.82
48,FPT,-4.85
49,S4A,-4.86
50,TIX,-4.89
51,IMP,-4.92
52,SZL,-4.93
53,VPD,-4.98
54,HDB,-5.01
55,TMP,-5.06
56,TN1,-5.08
57,CTF,-5.08
58,ILB,-5.1
59,ACB,-5.19
60,VNL,-5.19
61,PGD,-5.27
62,TVT,-5.28
63,RAL,-5.29
64,BIC,-5.29
65,DTL,-5.31
66,PNJ,-5.34
67,VTB,-5.34
68,DBT,-5.35
69,TDM,-5.37
70,BTP,-5.39
71,PAC,-5.48
72,SCD,-5.49
73,TCT,-5.51
74,ACG,-5.55
75,SAV,-5.56
76,PGC,-5.56
77,CSM,-5.66
78,SHI,-5.69
79,SFI,-5.69
80,TTA,-5.76
81,OCB,-5.78
82,TCM,-5.8
83,TPB,-5.83
84,VPS,-5.89
85,HMC,-5.89
86,HTV,-5.89
87,TDP,-5.91
88,SRF,-5.92
89,SJS,-5.93
90,DHC,-5.95
91,THI,-5.96
92,GAS,-5.97
93,C32,-5.97
94,GSP,-5.98
95,BWE,-5.98
96,PLX,-5.99
97,VID,-6.01
98,MSN,-6.01
99,VPB,-6.02
100,SVT,-6.04
101,VNS,-6.05
102,BVH,-6.05
103,NNC,-6.06
104,MSB,-6.07
105,APC,-6.07
106,VSC,-6.07
107,BID,-6.08
108,CTG,-6.09
109,SFG,-6.1
110,TV2,-6.1
111,TMS,-6.12
112,VIB,-6.17
113,VTO,-6.21
114,SPM,-6.21
115,MSH,-6.23
116,VCA,-6.25
117,BRC,-6.25
118,THG,-6.27
119,UIC,-6.27
120,TRC,-6.28
121,BCM,-6.3
122,AAM,-6.3
123,VNE,-6.31
124,SC5,-6.32
125,CMG,-6.33
126,SHA,-6.33
127,STK,-6.34
128,VNG,-6.34
129,LM8,-6.36
130,MBB,-6.37
131,GMD,-6.37
132,DHA,-6.38
133,TLG,-6.39
134,D2D,-6.4
135,EVF,-6.4
136,VRE,-6.42
137,HPG,-6.43
138,PTB,-6.44
139,HVN,-6.47
140,HVX,-6.49
141,POM,-6.51
142,EVE,-6.53
143,TVS,-6.55
144,SHB,-6.55
145,KDH,-6.58
146,BBC,-6.6
147,REE,-6.62
148,FMC,-6.64
149,NHH,-6.68
150,TCB,-6.68
151,DPR,-6.68
152,CRE,-6.69
153,HVH,-6.7
154,EIB,-6.72
155,VMD,-6.72
156,YBM,-6.73
157,GMC,-6.74
158,CRC,-6.74
159,HAS,-6.75
160,ITD,-6.75
161,SSC,-6.75
162,BAF,-6.77
163,DRC,-6.77
164,NT2,-6.78
165,VIP,-6.78
166,TNH,-6.78
167,TNA,-6.78
168,HII,-6.79
169,ACC,-6.8
170,NAV,-6.8
171,ABT,-6.81
172,ADG,-6.81
173,VSI,-6.81
174,LPB,-6.82
175,PNC,-6.83
176,SKG,-6.83
177,NTL,-6.84
178,PVT,-6.84
179,VDS,-6.84
180,KPF,-6.85
181,NAF,-6.86
182,TCR,-6.86
183,POW,-6.86
184,GEG,-6.86
185,STB,-6.87
186,TCO,-6.87
187,BMC,-6.87
188,ASP,-6.87
189,RDP,-6.87
190,HUB,-6.87
191,C47,-6.88
192,CTI,-6.88
193,AAA,-6.88
194,TEG,-6.88
195,GMH,-6.89
196,ADS,-6.89
197,ST8,-6.89
198,HSL,-6.89
199,HU1,-6.89
200,DTT,-6.89
201,ORS,-6.89
202,SGR,-6.89
203,SBT,-6.89
204,TPC,-6.9
205,HT1,-6.9
206,PIT,-6.9
207,PLP,-6.9
208,LEC,-6.9
209,HU3,-6.9
210,MWG,-6.9
211,KHP,-6.9
212,PAN,-6.9
213,BCE,-6.9
214,TLD,-6.9
215,PDR,-6.91
216,TNC,-6.91
217,SMA,-6.91
218,HAX,-6.91
219,DAT,-6.91
220,VND,-6.91
221,MIG,-6.91
222,MHC,-6.91
223,SSI,-6.91
224,VOS,-6.91
225,PHC,-6.91
226,HAP,-6.91
227,SMC,-6.91
228,TMT,-6.92
229,TIP,-6.92
230,VSH,-6.92
231,VPG,-6.92
232,SAM,-6.92
233,LSS,-6.92
234,APH,-6.92
235,ELC,-6.92
236,AAT,-6.92
237,CCL,-6.92
238,DBC,-6.92
239,BMI,-6.92
240,DTA,-6.92
241,AGR,-6.92
242,FCM,-6.92
243,COM,-6.93
244,DC4,-6.93
245,SGT,-6.93
246,TTB,-6.93
247,SVI,-6.93
248,DQC,-6.93
249,AGM,-6.93
250,GVR,-6.93
251,HCD,-6.93
252,ABS,-6.93
253,PVD,-6.93
254,IJC,-6.93
255,HHV,-6.94
256,HHS,-6.94
257,SVD,-6.94
258,FTS,-6.94
259,HDG,-6.94
260,HSG,-6.94
261,HTN,-6.94
262,VCG,-6.94
263,TLH,-6.94
264,DXV,-6.94
265,EVG,-6.94
266,ASM,-6.94
267,PSH,-6.94
268,PHR,-6.94
269,TVB,-6.94
270,DPM,-6.94
271,NLG,-6.94
272,DAG,-6.94
273,TDH,-6.94
274,LHG,-6.94
275,BFC,-6.94
276,BKG,-6.94
277,GEX,-6.95
278,TNI,-6.95
279,GIL,-6.95
280,DAH,-6.95
281,QCG,-6.95
282,DGC,-6.95
283,HAG,-6.95
284,VCI,-6.95
285,DXS,-6.95
286,TNT,-6.95
287,TTF,-6.95
288,ITA,-6.95
289,CMX,-6.95
290,VPH,-6.95
291,LGL,-6.95
292,KMR,-6.95
293,KHG,-6.95
294,BSI,-6.95
295,JVC,-6.95
296,HAR,-6.95
297,CKG,-6.95
298,CNG,-6.95
299,HPX,-6.95
300,HOT,-6.95
301,HNG,-6.95
302,PC1,-6.95
303,CTD,-6.95
304,TCH,-6.95
305,ACL,-6.95
306,HCM,-6.95
307,CTS,-6.95
308,NKG,-6.95
309,UDC,-6.96
310,VRC,-6.96
311,VHC,-6.96
312,APG,-6.96
313,CII,-6.96
314,CSV,-6.96
315,CTR,-6.96
316,QBS,-6.96
317,FIT,-6.96
318,IBC,-6.96
319,TDC,-6.96
320,PET,-6.96
321,NVT,-6.96
322,NVL,-6.96
323,SCR,-6.96
324,MCG,-6.96
325,SJF,-6.96
326,KBC,-6.96
327,ITC,-6.96
328,IDI,-6.96
329,SZC,-6.96
330,YEG,-6.96
331,KSB,-6.97
332,FCN,-6.97
333,PTL,-6.97
334,PTC,-6.97
335,TSC,-6.97
336,OGC,-6.97
337,AMD,-6.97
338,DCM,-6.97
339,NHA,-6.97
340,NBB,-6.97
341,DRH,-6.97
342,LDG,-6.97
343,VGC,-6.97
344,DLG,-6.97
345,HID,-6.97
346,HAH,-6.97
347,TDG,-6.97
348,HBC,-6.97
349,TGG,-6.97
350,HDC,-6.97
351,DIG,-6.97
352,HQC,-6.97
353,VIX,-6.97
354,TCD,-6.97
355,DGW,-6.98
356,CIG,-6.98
357,ANV,-6.98
358,DPG,-6.98
359,DXG,-6.98
360,LCG,-6.98
361,FRT,-6.98
362,BCG,-7.56
363,VFG,-8.65
